"comment_id","video_id","author_name","author_channel_id","comment_text","like_count","published_at","updated_at","reply_count"
"UgzQUjVJiUeO9x5I-T14AaABAg","6t-MjBazs3o","@lynnnhi3397","UC6p6a4k-Kysk9UE2dTnPG6g","Hãy cốgắng thậtnhiều để đạt100M sớm nhất cóthể nhé <br>Hãy quýtrọng và yêuthương mónquà Tùng dành tặngcho s ky <br>Hãyluôn ủnghộ, yêuthương Tùng, bêncạnh Tùng,mãinhư ngày hômqua, hnay,và mãivề sau&lt;3","282","2020-07-10T14:15:41Z","2020-07-10T14:15:41Z","12"
"Ugxb55diXt5lfaWZ9PJ4AaABAg","6t-MjBazs3o","@fcmixigaming2472","UC1aZqr0qEUivQ-qI7vjQgdw","Được 1000 like tớ cày tới mai hứaaaaaaaaaaaaaa <br>ở đây chỉ có <br>MTP END SKY","356","2020-07-05T17:38:31Z","2020-07-05T17:54:10Z","5"
"UgxQI0FPMhuKIwwkQA94AaABAg","6t-MjBazs3o","@khanghuy5255","UCgFVgCM9GRe-9M-hUPjMm1A","Cày từ 20h tới giờ ước gì được 1 like để có động lực cày tiếp :((","423","2020-07-05T22:29:57Z","2020-07-05T22:29:57Z","10"
"UgwIzF_EV-41PA_UlmR4AaABAg","6t-MjBazs3o","@liqicungJzabong","UCI77o50JLwKGY41wTbUbGQw","Từ 8h tới h. Xin 10 like làm động lực","210","2020-07-05T17:32:57Z","2020-07-05T17:32:57Z","7"
"Ugzm3FlEosSEU-FvjGp4AaABAg","6t-MjBazs3o","@sunflower.T","UCtKVcOVB_Nou5BOVoBMjqBw","<b>M-TP</b>","279","2021-04-29T17:17:52Z","2021-04-29T17:17:52Z","4"
"Ugx7i3qBdJh-LSi1rqp4AaABAg","6t-MjBazs3o","@august_hygee","UCo8LldBaBgMbf2MDO5yDSig","Sơn Tùng -MTP is the best in my eyes","318","2020-07-08T05:21:27Z","2020-07-08T05:21:27Z","37"
"UgxQ9hzKi3dMnoNwugt4AaABAg","6t-MjBazs3o","@thuthuat-social7142","UCKJ5JzJ9sUYwq1-LNg9gilQ","20 cái PC tối nay có việc ròi<br>ƯỚC ĐƯỢC LIKE","636","2020-07-05T16:04:52Z","2020-07-05T16:04:52Z","11"
"UgwUipstOewYhi70f3p4AaABAg","6t-MjBazs3o","@thikimcuchuynh654","UC9gc850XS9xxYDJ-kx6RqPw","40 millions views are coming and also our mission as a special birthday gift to give SONTUNGMTP ( just in 24h)","230","2020-07-03T05:55:46Z","2020-07-03T05:55:46Z","6"
"UgxzrBNGkxBBE6a6u454AaABAg","6t-MjBazs3o","@Thanh-hv7wy","UCQpq-a04QwcYY8pfrGFdYjw","Được 100 like để có động lực cày từ giờ đến sáng nè","426","2020-07-05T17:19:32Z","2020-07-05T17:19:32Z","9"
"Ugw_9IbBmdoigT_xDZp4AaABAg","6t-MjBazs3o","@Spaky1120","UCPN7X1MdmCj0I5iWOOXrxmA","From Russia <br>I LOVE mtp Vietnam<br>Big fan Son Tung","654","2020-07-06T07:03:02Z","2020-07-06T07:03:02Z","14"
"UgxIvIf4v7eXvZx-vU14AaABAg","6t-MjBazs3o","@hieuvsk6327","UC2NJ6c1zW2MEPHQbb3I0nAA","2 laptop <br>1 tivi <br>3 điện thoại<br>10 l i ke cày tới trưa mai","426","2020-07-05T17:20:55Z","2020-07-05T17:39:02Z","8"
"UgyayYTEXU02Nzr4IEx4AaABAg","6t-MjBazs3o","@th.g0206","UCcyQcNAv-XHoPa2s-uxgTZA","5k cmt nữa là 1tr mn ơi","0","2026-01-07T08:15:10Z","2026-01-07T08:15:10Z","0"
"UgxG20_2XVfOGhKg3gR4AaABAg","6t-MjBazs3o","@Vkook-ARMY","UCA8HWv0bIRecIRqMwyENaMQ","Lời đường mật của chàng trai mang tên: Nguyễn Thanh Tùng","213","2020-07-07T13:14:46Z","2020-07-07T13:14:46Z","6"
"UgwxsnLmBS61t-SxWI54AaABAg","6t-MjBazs3o","@caramels547","UC72BkBK5Gtm6ZSDFsxQngrw","Xin 1 vài like làm động lực để cày từ đây tới sáng ạ","446","2020-07-05T16:45:42Z","2020-07-05T16:45:42Z","11"
"UgzKnIkdbLf5Y1jSMDR4AaABAg","6t-MjBazs3o","@ticodaniel9336","UChLu7Er2MBenLTGIRikOldg","1h đêm vẫn ngồi cày, xin 10 like để em tiếp tục cày ạ","937","2020-07-05T18:21:18Z","2020-07-05T18:21:18Z","29"
"Ugzo68valDr7MMlkps94AaABAg","6t-MjBazs3o","@keokeo1422","UCJYMwlwlkssLnI2HYDiOwlQ","2025 vẫn nghe thường xuyên ❤","1","2025-07-25T15:49:43Z","2025-07-25T15:49:43Z","0"
"UgxFA3F_pqXFGZHFWt54AaABAg","6t-MjBazs3o","@kaniiee24","UCZPrgmtaC9nNYH1h6bXDACA","Nếu mọi người thật sự yêu thích Tùng thì làm ơn đừng comment from... Love nữa và có thể nói lên cảm nhận suy nghĩ của chính mình nhé <br>Xin cảm ơn <br>I love you Sơn Tùng M-TP","351","2020-07-05T14:31:40Z","2020-07-05T14:31:40Z","26"
"UgwN9LVVauVU5_igPKl4AaABAg","6t-MjBazs3o","@badboy7894","UCRUwRY57a2tf6fVL0cWoGyQ","10M UNLOCKED <br>20M UNLOCKED <br>30M UNLOCKED <br>40M UNLOCKED <br>50M UNLOCKED <br>60M LOCK <br>70M LOCK<br>80M LOCK<br>90M LOCK<br>100M LOCK","258","2020-07-14T11:19:15Z","2020-07-14T11:19:15Z","1"
"Ugz6Acdv9syZ0e89_8x4AaABAg","6t-MjBazs3o","@huongsuli1595","UCccnhkHy3vTX2zd5vmT0zNA","Cảm ơn Tùng rất rất nhiều ....!mãi yêu Tùng và sky ơiiii chúng ta mãi là một gia đình nha!","291","2020-07-05T15:03:05Z","2020-07-05T15:12:50Z","21"
"UgxrHQObkFwTsUzjNQl4AaABAg","6t-MjBazs3o","@chuyenha3907","UCzNPjGNKzfkRqVr_P8asC_Q","40 like cày xuyên đêm đêm đêm","236","2020-07-05T17:06:08Z","2020-07-05T17:06:08Z","4"
"UgxH5y9QnYYfrjWyB7J4AaABAg","6t-MjBazs3o","@vurpgames7918","UCrK0vaYNfGHatBj72b7rBXw","nhà tui bán đt mở liền 40 máy luôn xin 1 like để lấy động lực chạy đến sang =)))","389","2020-07-05T15:17:41Z","2020-07-05T15:17:41Z","5"
"UgzEK3OlzOs7dAywvdR4AaABAg","6t-MjBazs3o","@zehu1326","UC4_4-EpHD7vLPD7TACE-a8Q","Sắp ra mv mới<br>Lần này,chúng ta phải thật cố gắng hết mình nhé","939","2020-12-14T00:37:02Z","2020-12-14T00:37:02Z","15"
"UgzvlkqItlQVnDwME6h4AaABAg","6t-MjBazs3o","@HindustaniNomadic","UCtezUedGRVsADz26Y4lIUSA","<b>I am from India i Love This song I love Vietname</b>","474","2020-07-09T15:34:56Z","2020-07-09T15:59:31Z","23"
"UgyBKYxMMq6641ejOGJ4AaABAg","6t-MjBazs3o","@HaiNguyen-op3oh","UC6ytlJ0ZSYAI2AX0Yn9I5QA","05M ✔ <br>10M ✔ <br>15M ✔ <br>20M ✔ <br>25M ✔ <br>30M ✔ oke oke<br>35M <br>40M <br>....M <br>100M <br>Let&#39;s go","511","2020-07-08T01:29:18Z","2020-07-08T01:42:06Z","22"
"UgzELzaWsCUumKa5rHJ4AaABAg","6t-MjBazs3o","@popular8887","UC_f0h8pOzpnJTbKFnoi06pA","You very handsome <br>I&#39;m from GERMANY <br>I really liked this MV <br>Good job SƠN TÙNG MTP","401","2020-07-05T15:45:10Z","2020-07-05T15:47:11Z","12"
"UgwmtDBQcVjAN88iut94AaABAg","6t-MjBazs3o","@tranbat","UCPh_3hS0_aEdmx0yZhxjjrg","&lt;3 SON TUNG MTP IS NUMBER ONE !! SKY FOREVER","207","2020-07-08T15:19:38Z","2020-07-08T15:45:12Z","6"
"UgzLb62lPgDCGG77q7J4AaABAg","6t-MjBazs3o","@sovankongkeaen4024","UCjgvmnnN09Tm_hsCYchMW-g","Sending lots of love from Cambodia","230","2020-07-06T05:21:16Z","2020-07-06T05:47:31Z","8"
"UgyeBmR2lQVHf0BLEwR4AaABAg","6t-MjBazs3o","@hoypo8052","UCgztMlpvp5XryFzZMqxKZlA","Hala, ang ganda.🤩 Y&#39;all can play this while studying coz you won&#39;t get bored baka mapasayaw ka pa bigla 💙<br>(A&#39;tin 🇵🇭)","221","2021-01-21T06:59:04Z","2021-01-21T06:59:04Z","4"
"UgwWlklACqK58vTeEsd4AaABAg","6t-MjBazs3o","@binhthegamer","UCglKIK_vNGp_o5Mz7ylM_ww","Bài hát của Sếp 1 tỉ năm cũng ko flopz :3","1","2025-09-12T10:19:08Z","2025-09-12T10:19:08Z","0"
"UgxfiOz8ch3RAdRZiMR4AaABAg","6t-MjBazs3o","@caramels547","UC72BkBK5Gtm6ZSDFsxQngrw","Đã hơn 2 ngày xin 10 like để tiếp tục hết đêm nay","479","2020-07-07T16:52:37Z","2020-07-07T16:52:37Z","11"
